Año,Cuatrimestre,Materia,Comision,Horario,Profesores,Inscriptos
2010,Primer Cuat.,31.04 - Elementos de Máquinas,M,"Martes 15:00 - 18:00 Aula externa: 21
Miércoles 15:00 - 18:00 Aula externa: 21","['Celani', ' Vicente Fidel\nCaunedo', ' Carlos Gabriel\nSchiazzano', ' Rafael Alberto']",32 / Ilimitado
2010,Primer Cuat.,31.91 - Elementos Finitos I,M,Jueves 11:00 - 14:00 Aula externa: 104,"['Bucello', ' Pablo Augusto\nPontelli', "" Nicolas\nD''Hers"", ' Sebastián']",20 / Ilimitado
2010,Primer Cuat.,94.54 - Español intensivo para extranjeros A2 (Seminario - 01/03/2010 - 31/07/2010),INT,"Martes 13:00 - 15:00 Aula externa: 142
Jueves 13:00 - 15:00 Aula externa: 125",[''],5 / Ilimitado
2010,Primer Cuat.,93.39 - Estadística,A,"Lunes 14:00 - 17:00 Aula externa: 154
Miércoles 16:00 - 19:00 Aula externa: 133","['Fierens', ' Pablo Ignacio\nPralong', ' Hector Omar\nAlvarez Ponte', ' Lucia Ines']",23 / 20
2010,Primer Cuat.,93.39 - Estadística,B,"Lunes 11:00 - 14:00 Aula externa: 154
Miércoles 16:00 - 19:00 Aula externa: 133","['Fierens', ' Pablo Ignacio\nPralong', ' Hector Omar\nAlvarez Ponte', ' Lucia Ines']",9 / 20
2010,Primer Cuat.,11.67 - Estadística Aplicada,A,"Martes 14:00 - 17:00 Aula externa: 26
Viernes 12:00 - 15:00 Aula externa: 11","['Stewart-Harris', ' María Fernanda\nBursky', ' Jorge Cesar Carlos\nBonoli Escobar', ' Mariano Felipe']",33 / 35
2010,Primer Cuat.,11.67 - Estadística Aplicada,B,"Martes 09:00 - 12:00 Aula externa: 31
Jueves 10:00 - 13:00 Aula externa: 31","['Stewart-Harris', ' María Fernanda\nBursky', ' Jorge Cesar Carlos\nBonoli Escobar', ' Mariano Felipe']",31 / 35
2010,Primer Cuat.,11.68 - Estadística Superior,A,Lunes 19:00 - 22:00 Aula externa: 142,[''],9 / 10
2010,Primer Cuat.,31.34 - Estática,M,"Lunes 11:00 - 14:00 Aula externa: 152
Miércoles 11:00 - 14:00 Aula externa: 152","['Baranda', ' Hernan Abel\nGuozden', ' Agustina']",23 / Ilimitado
2010,Primer Cuat.,31.17 - Estática y Resistencia de Materiales,A,"Martes 12:00 - 15:00 Aula externa: 21
Miércoles 08:00 - 11:00 Aula externa: 31","['Kornitz', ' Jorge David\nMolanes', ' Claudio Alejandro']",42 / 36
2010,Primer Cuat.,31.17 - Estática y Resistencia de Materiales,B,"Lunes 15:00 - 18:00 Aula externa: 31
Martes 15:30 - 18:30 Aula externa: 10","['Farkouh De Varela', ' Norma Beatriz\nMinetto', ' Horacio Mateo']",53 / 39
2010,Primer Cuat.,31.19 - Estática y Resistencia de Materiales,PQ,"Lunes 15:00 - 18:00 Aula externa: 121
Miércoles 14:00 - 17:00 Aula externa: 26","['Crubellier', ' Pablo\nGuozden', ' Agustina\nBaranda', ' Hernan Abel']",22 / Ilimitado
2010,Primer Cuat.,81.40 - Estrategia Empresaria y Plan de Negocios,L,"Jueves 15:00 - 18:00 Aula externa: 135
Viernes 15:00 - 18:00 Aula externa: 135","['Horita', ' Jorge Alberto\nTerlato', ' Alberto']",32 / Ilimitado
2010,Primer Cuat.,32.65 - Estructura de Buques II,N,"Lunes 19:00 - 22:00 Aula externa: 110
Viernes 19:00 - 22:00 Aula externa: 110","['Muñoz', ' Juan Carlos']",2 / Ilimitado
2010,Primer Cuat.,72.34 - Estructura de Datos y Algoritmos,S,"Lunes 12:00 - 14:00 Aula externa: 104
Miércoles 12:00 - 14:00 Aula externa: 104
Miércoles 14:00 - 16:00 Aula externa: LAB INF","['Gregoire', ' Andres Santiago\nGarberoglio', ' Marcelo Fabio\nOrliki', ' Jose Ignacio']",14 / Ilimitado
2010,Primer Cuat.,94.40 - Estructura de las Organizaciones,L,Miércoles 14:00 - 17:00 Aula externa: 117,"['Gutierrez Krüsemann', ' Ricardo Jose M.\nOtero', ' Susana Agustina']",19 / Ilimitado
